n_layer1;n_kernel1;n_layer2;n_kernel2;n_pool1;dropout_1;dropout_2;dense1;dense2;act;optim;n_batch;best_val_acc
38;(4, 4);64;(3, 3);(2, 2);0.1882026135059494;0.4379993386186242;180;60;leakyrelu;sgd;24;0.6146000027656555
26;(4, 4);62;(4, 4);(3, 3);0.23156201485216155;0.46348185198825415;160;100;relu;rmsprop;32;0.7008000016212463
38;(5, 5);68;(3, 3);(3, 3);0.12855179558177077;0.3511978539779493;180;60;relu;sgd;24;0.7283999919891357
14;(4, 4);62;(3, 3);(3, 3);0.11240638017562021;0.3918916367866076;200;60;leakyrelu;rmsprop;8;0.7020999789237976
32;(4, 4);64;(4, 4);(2, 2);0.12041331156087569;0.4423224062950728;100;100;relu;sgd;32;0.7332000136375427
38;(5, 5);54;(3, 3);(3, 3);0.10156592353567268;0.3707615101734758;160;60;relu;rmsprop;24;0.713100016117096
26;(4, 4);62;(3, 3);(3, 3);0.15016473391670454;0.42374691574359996;180;60;leakyrelu;rmsprop;32;0.6355000138282776
8;(4, 4);68;(4, 4);(3, 3);0.13381893483917068;0.45671021779827137;200;100;relu;sgd;8;0.5992000102996826
38;(4, 4);62;(3, 3);(2, 2);0.1834710995430776;0.47866116163124095;100;60;relu;rmsprop;24;0.7199000120162964
38;(5, 5);68;(3, 3);(3, 3);0.21217285723292284;0.497477523406593;180;60;relu;rmsprop;32;0.6992999911308289
14;(4, 4);64;(4, 4);(3, 3);0.17003642323269944;0.34311316688985694;200;100;leakyrelu;rmsprop;8;0.6708999872207642
32;(4, 4);54;(3, 3);(3, 3);0.24874556378338644;0.41015719183774046;160;60;relu;sgd;24;0.6952999830245972
38;(4, 4);50;(3, 3);(3, 3);0.15949169323517876;0.3097173076904589;180;60;relu;rmsprop;32;0.72079998254776
26;(5, 5);62;(4, 4);(2, 2);0.10724697301654458;0.3985095591315315;200;60;relu;rmsprop;24;0.7254999876022339
8;(4, 4);68;(3, 3);(3, 3);0.14528354098974852;0.4675752084325926;100;100;relu;rmsprop;32;0.6894999742507935
38;(4, 4);64;(3, 3);(3, 3);0.2227006349551251;0.4303763809937672;180;60;leakyrelu;sgd;8;0.677299976348877
38;(4, 4);50;(3, 3);(3, 3);0.29231903852275054;0.4902630658340798;200;60;relu;rmsprop;24;0.7204999923706055
38;(4, 4);50;(3, 3);(3, 3);0.10799149121075467;0.4177916383435332;130;80;relu;rmsprop;16;0.7554000020027161
38;(4, 4);50;(3, 3);(3, 3);0.12381916497701262;0.3913846042624948;130;80;relu;rmsprop;16;0.6952999830245972
38;(4, 4);50;(3, 3);(3, 3);0.1015547829896123;0.4457302979806575;130;80;relu;rmsprop;16;0.652899980545044
38;(4, 4);50;(3, 3);(3, 3);0.11678953004908414;0.4130309793823375;130;80;relu;rmsprop;32;0.7468000054359436
38;(4, 4);50;(3, 3);(3, 3);0.1309756178861963;0.42183838580601857;160;80;relu;rmsprop;16;0.7531999945640564
38;(4, 4);58;(3, 3);(3, 3);0.1108012208374025;0.38283121801462067;200;80;relu;rmsprop;32;0.7426000237464905
20;(4, 4);50;(3, 3);(3, 3);0.14027651081233028;0.4319129547728101;130;80;relu;rmsprop;16;0.6938999891281128
